benchmark,dataset,train_size,seed,method,subset,n_train,n_test,n_eval,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95
pdebench_burgers,PDEBench Burgers ShockJump,200,4,xgb_bootstrap,far_from_threshold,200,400,294,0.6857447995575389,0.2944258153438568,1.6202860000048531,0.9455782312925171,1.7486887739997743,0.9591836734693877,2.08369119358131
pdebench_burgers,PDEBench Burgers ShockJump,200,4,dkl_svgp,all,200,400,400,0.8562958240509033,0.43257635831832886,0.7803811999983736,0.645,1.1434335556379018,0.7,1.3624851178511472
pdebench_burgers,PDEBench Burgers ShockJump,200,4,dkl_svgp,near_threshold,200,400,106,1.1996169090270996,0.7349535226821899,0.7803811999983736,0.46226415094339623,1.3032969652678097,0.5094339622641509,1.5529741195388564
pdebench_burgers,PDEBench Burgers ShockJump,200,4,dkl_svgp,far_from_threshold,200,400,294,0.6919224858283997,0.32355600595474243,0.7803811999983736,0.7108843537414966,1.085795727676098,0.7687074829931972,1.2938054097596605
pdebench_burgers,PDEBench Burgers ShockJump,200,4,lmjgp_predict_vi,all,200,400,400,0.8657118678092957,0.3361665606498718,602.6150833000065,0.8025,1.160193597218361,0.8475,1.3824559391685285
pdebench_burgers,PDEBench Burgers ShockJump,200,4,lmjgp_predict_vi,near_threshold,200,400,106,1.2592524290084839,0.6927645802497864,602.6150833000065,0.6226415094339622,2.374475989738368,0.6792452830188679,2.829362653178867
pdebench_burgers,PDEBench Burgers ShockJump,200,4,lmjgp_predict_vi,far_from_threshold,200,400,294,0.6692895293235779,0.20759719610214233,602.6150833000065,0.8673469387755102,0.7223911019560456,0.9081632653061225,0.8607820898994943
pdebench_burgers,PDEBench Burgers ShockJump,500,0,xgb_bootstrap,all,500,400,400,0.7327842025433108,0.32572034001350403,2.309302800000296,0.9225,1.7324553123543347,0.9325,2.06434783095734
pdebench_burgers,PDEBench Burgers ShockJump,500,0,xgb_bootstrap,near_threshold,500,400,106,0.9221370304106598,0.4649938642978668,2.309302800000296,0.839622641509434,1.8776048807855092,0.8490566037735849,2.237304209467382
pdebench_burgers,PDEBench Burgers ShockJump,500,0,xgb_bootstrap,far_from_threshold,500,400,294,0.6511459926381074,0.27550604939460754,2.309302800000296,0.9523809523809523,1.6801224747566998,0.9625850340136054,2.001989408773447
pdebench_burgers,PDEBench Burgers ShockJump,500,0,dkl_svgp,all,500,400,400,0.9846347570419312,0.5912100076675415,0.9168066999991424,0.505,1.3517201292619456,0.53,1.6106738782838834
pdebench_burgers,PDEBench Burgers ShockJump,500,0,dkl_svgp,near_threshold,500,400,106,1.300074815750122,0.8317375779151917,0.9168066999991424,0.42452830188679247,1.2380062883560394,0.4528301886792453,1.4751754794796303
pdebench_burgers,PDEBench Burgers ShockJump,500,0,dkl_svgp,far_from_threshold,500,400,294,0.8424163460731506,0.5044891238212585,0.9168066999991424,0.5340136054421769,1.3927189970715579,0.5578231292517006,1.6595270424786144
pdebench_burgers,PDEBench Burgers ShockJump,500,0,lmjgp_predict_vi,all,500,400,400,0.759489119052887,0.2774776220321655,637.711742200001,0.8475,1.152882889322092,0.885,1.3737446934118243
pdebench_burgers,PDEBench Burgers ShockJump,500,0,lmjgp_predict_vi,near_threshold,500,400,106,1.0128180980682373,0.5118152499198914,637.711742200001,0.7735849056603774,2.320845063475785,0.8018867924528302,2.7654574629480475
pdebench_burgers,PDEBench Burgers ShockJump,500,0,lmjgp_predict_vi,far_from_threshold,500,400,294,0.6441644430160522,0.1929885745048523,637.711742200001,0.8741496598639455,0.7317808809537537,0.9149659863945578,0.8719707016742742
pdebench_burgers,PDEBench Burgers ShockJump,500,1,xgb_bootstrap,all,500,400,400,0.7154623534733083,0.3163982629776001,2.7986104000010528,0.93,1.7295396804606087,0.9425,2.060873641272468
pdebench_burgers,PDEBench Burgers ShockJump,500,1,xgb_bootstrap,near_threshold,500,400,106,0.8657269069070218,0.4150545001029968,2.7986104000010528,0.8584905660377359,1.8388364468250036,0.8867924528301887,2.1911087711289334
pdebench_burgers,PDEBench Burgers ShockJump,500,1,xgb_bootstrap,far_from_threshold,500,400,294,0.6528570008770538,0.2808283865451813,2.7986104000010528,0.95578231292517,1.690133363336031,0.9625850340136054,2.0139181182629944
pdebench_burgers,PDEBench Burgers ShockJump,500,1,dkl_svgp,all,500,400,400,0.8931481838226318,0.446561723947525,1.1835635000024922,0.715,1.0942699971682743,0.7725,1.3039031246735004
pdebench_burgers,PDEBench Burgers ShockJump,500,1,dkl_svgp,near_threshold,500,400,106,1.3158667087554932,0.8060244917869568,1.1835635000024922,0.5283018867924528,1.0732262938396342,0.5849056603773585,1.2788280055567176
pdebench_burgers,PDEBench Burgers ShockJump,500,1,dkl_svgp,far_from_threshold,500,400,294,0.6789995431900024,0.31695953011512756,1.1835635000024922,0.782312925170068,1.101857182722138,0.8401360544217688,1.3129438138788712
pdebench_burgers,PDEBench Burgers ShockJump,500,1,lmjgp_predict_vi,all,500,400,400,0.7893260717391968,0.29603585600852966,616.7442448000002,0.8,1.1276452517449318,0.875,1.3436721934059819
pdebench_burgers,PDEBench Burgers ShockJump,500,1,lmjgp_predict_vi,near_threshold,500,400,106,1.0879579782485962,0.5552906394004822,616.7442448000002,0.660377358490566,1.9757463529824595,0.7264150943396226,2.354246986468315
pdebench_burgers,PDEBench Burgers ShockJump,500,1,lmjgp_predict_vi,far_from_threshold,500,400,294,0.6487745642662048,0.20256301760673523,616.7442448000002,0.8503401360544217,0.8218673036797006,0.9285714285714286,0.9793152952270451
pdebench_burgers,PDEBench Burgers ShockJump,500,2,xgb_bootstrap,all,500,400,400,0.7199927715861171,0.32247504591941833,2.7578107999943313,0.93,1.8253871245889435,0.945,2.175082915230736
pdebench_burgers,PDEBench Burgers ShockJump,500,2,xgb_bootstrap,near_threshold,500,400,106,0.9391015492014227,0.4589303433895111,2.7578107999943313,0.8490566037735849,1.952614968723798,0.8962264150943396,2.326684242089923
pdebench_burgers,PDEBench Burgers ShockJump,500,2,xgb_bootstrap,far_from_threshold,500,400,294,0.6223534282678879,0.2732768654823303,2.7578107999943313,0.9591836734693877,1.7795158610573294,0.9625850340136054,2.120423933437968
pdebench_burgers,PDEBench Burgers ShockJump,500,2,dkl_svgp,all,500,400,400,0.9123945832252502,0.48814690113067627,0.9664308999999776,0.685,1.5845444591146054,0.7175,1.888101178658101
pdebench_burgers,PDEBench Burgers ShockJump,500,2,dkl_svgp,near_threshold,500,400,106,1.3241251707077026,0.7965656518936157,0.9664308999999776,0.5566037735849056,1.4513381428232939,0.5754716981132075,1.7293760628384642
pdebench_burgers,PDEBench Burgers ShockJump,500,2,dkl_svgp,far_from_threshold,500,400,294,0.7074312567710876,0.3769483268260956,0.9664308999999776,0.7312925170068028,1.6325712262128336,0.7687074829931972,1.9453286013685824
pdebench_burgers,PDEBench Burgers ShockJump,500,2,lmjgp_predict_vi,all,500,400,400,0.8258576393127441,0.31115806102752686,678.7124135999984,0.8725,1.3092718571787918,0.9,1.5600936423736926
pdebench_burgers,PDEBench Burgers ShockJump,500,2,lmjgp_predict_vi,near_threshold,500,400,106,1.0311542749404907,0.5086492896080017,678.7124135999984,0.8301886792452831,2.1639063934562985,0.8301886792452831,2.578453503459023
pdebench_burgers,PDEBench Burgers ShockJump,500,2,lmjgp_predict_vi,far_from_threshold,500,400,294,0.7379617691040039,0.23995377123355865,678.7124135999984,0.8877551020408163,1.0011383168882622,0.9251700680272109,1.1929298829347643
pdebench_burgers,PDEBench Burgers ShockJump,500,3,xgb_bootstrap,all,500,400,400,0.7333886185401501,0.32534259557724,4.124499999998079,0.9125,1.7520870266012418,0.9325,2.087740461309521
pdebench_burgers,PDEBench Burgers ShockJump,500,3,xgb_bootstrap,near_threshold,500,400,106,0.9581888750749253,0.47635072469711304,4.124499999998079,0.8113207547169812,1.9013616002803275,0.8490566037735849,2.2656120867384812
pdebench_burgers,PDEBench Burgers ShockJump,500,3,xgb_bootstrap,far_from_threshold,500,400,294,0.6330527451347389,0.2708974778652191,4.124499999998079,0.9489795918367347,1.698266942213544,0.9625850340136054,2.023609875270508
pdebench_burgers,PDEBench Burgers ShockJump,500,3,dkl_svgp,all,500,400,400,0.9337332844734192,0.5600165128707886,0.9507024000049569,0.365,0.7956530934657877,0.4325,0.9480791371515963
pdebench_burgers,PDEBench Burgers ShockJump,500,3,dkl_svgp,near_threshold,500,400,106,1.2964458465576172,0.8277543783187866,0.9507024000049569,0.41509433962264153,0.9430656081521159,0.5471698113207547,1.123731982439215
pdebench_burgers,PDEBench Burgers ShockJump,500,3,dkl_svgp,far_from_threshold,500,400,294,0.7617142796516418,0.46348515152931213,0.9507024000049569,0.3469387755102041,0.7425043636809212,0.391156462585034,0.8847485194628631
pdebench_burgers,PDEBench Burgers ShockJump,500,3,lmjgp_predict_vi,all,500,400,400,0.7927298545837402,0.29117289185523987,767.9122396000021,0.835,1.1799976359883464,0.89,1.4060539068548963
pdebench_burgers,PDEBench Burgers ShockJump,500,3,lmjgp_predict_vi,near_threshold,500,400,106,1.1117326021194458,0.5720572471618652,767.9122396000021,0.7264150943396226,2.2387027621988715,0.8018867924528302,2.6675788739526403
pdebench_burgers,PDEBench Burgers ShockJump,500,3,lmjgp_predict_vi,far_from_threshold,500,400,294,0.6398278474807739,0.18990164995193481,767.9122396000021,0.8741496598639455,0.7982876244974768,0.9217687074829932,0.9512183744999272
pdebench_burgers,PDEBench Burgers ShockJump,500,4,xgb_bootstrap,all,500,400,400,0.7193281089668294,0.31285035610198975,6.5318393999987165,0.94,1.8756536192857716,0.95,2.234979137983062
pdebench_burgers,PDEBench Burgers ShockJump,500,4,xgb_bootstrap,near_threshold,500,400,106,0.8571315736288958,0.4170120656490326,6.5318393999987165,0.8773584905660378,2.055776228647272,0.8962264150943396,2.4496084650948133
pdebench_burgers,PDEBench Burgers ShockJump,500,4,xgb_bootstrap,far_from_threshold,500,400,294,0.6626520379559111,0.2752954959869385,6.5318393999987165,0.9625850340136054,1.8107114540057743,0.9693877551020408,2.157595775146852
pdebench_burgers,PDEBench Burgers ShockJump,500,4,dkl_svgp,all,500,400,400,0.9578537344932556,0.4610578119754791,1.5984458000020823,0.7575,1.311399419508893,0.8,1.5626287892545678
pdebench_burgers,PDEBench Burgers ShockJump,500,4,dkl_svgp,near_threshold,500,400,106,1.4228465557098389,0.8275912404060364,1.5984458000020823,0.6037735849056604,1.3826156708176915,0.6132075471698113,1.6474881867061788
pdebench_burgers,PDEBench Burgers ShockJump,500,4,dkl_svgp,far_from_threshold,500,400,294,0.7199710607528687,0.32890626788139343,1.5984458000020823,0.8129251700680272,1.2857228118941562,0.8673469387755102,1.5320332241869807
pdebench_burgers,PDEBench Burgers ShockJump,500,4,lmjgp_predict_vi,all,500,400,400,0.7800195813179016,0.2911795377731323,759.7838985999988,0.84,1.2315169925481457,0.8975,1.4674430065956618
pdebench_burgers,PDEBench Burgers ShockJump,500,4,lmjgp_predict_vi,near_threshold,500,400,106,1.0887409448623657,0.5613847970962524,759.7838985999988,0.7452830188679245,2.342707943251222,0.8113207547169812,2.7915086910063183
pdebench_burgers,PDEBench Burgers ShockJump,500,4,lmjgp_predict_vi,far_from_threshold,500,400,294,0.6327899694442749,0.19375859200954437,759.7838985999988,0.8741496598639455,0.8308835205259483,0.9285714285714286,0.9900587802435207
pdebench_burgers,PDEBench Burgers ShockJump,1000,0,xgb_bootstrap,all,1000,400,400,0.7228050538177822,0.31357553601264954,6.608988200001477,0.915,1.749865770445188,0.93,2.0850936713490236
pdebench_burgers,PDEBench Burgers ShockJump,1000,0,xgb_bootstrap,near_threshold,1000,400,106,0.921187940683969,0.4506088197231293,6.608988200001477,0.8207547169811321,1.8654504626834691,0.8584905660377359,2.222821327013463
pdebench_burgers,PDEBench Burgers ShockJump,1000,0,xgb_bootstrap,far_from_threshold,1000,400,294,0.6362854918833516,0.26416900753974915,6.608988200001477,0.9489795918367347,1.708192378005536,0.95578231292517,2.0354367614836133
pdebench_burgers,PDEBench Burgers ShockJump,1000,0,dkl_svgp,all,1000,400,400,0.8518915176391602,0.49767258763313293,1.4620381999993697,0.4475,0.7985099256137154,0.4925,0.95148326261788
pdebench_burgers,PDEBench Burgers ShockJump,1000,0,dkl_svgp,near_threshold,1000,400,106,1.0565464496612549,0.695557713508606,1.4620381999993697,0.3867924528301887,0.9541495328224859,0.41509433962264153,1.1369392932937028
pdebench_burgers,PDEBench Burgers ShockJump,1000,0,dkl_svgp,far_from_threshold,1000,400,294,0.7647882103919983,0.4263262450695038,1.4620381999993697,0.46938775510204084,0.7423949651915057,0.5204081632653061,0.8846181631225153
pdebench_burgers,PDEBench Burgers ShockJump,1000,0,lmjgp_predict_vi,all,1000,400,400,0.727931559085846,0.24645628035068512,753.2563473000046,0.8425,0.9897494405774604,0.9075,1.1793591997883717
pdebench_burgers,PDEBench Burgers ShockJump,1000,0,lmjgp_predict_vi,near_threshold,1000,400,106,0.9333944916725159,0.4121541380882263,753.2563473000046,0.7547169811320755,1.7329124161123752,0.839622641509434,2.0648925036797503
pdebench_burgers,PDEBench Burgers ShockJump,1000,0,lmjgp_predict_vi,far_from_threshold,1000,400,294,0.6378211975097656,0.18671487271785736,753.2563473000046,0.8741496598639455,0.7218063269492258,0.9319727891156463,0.8600852875010037
pdebench_burgers,PDEBench Burgers ShockJump,1000,1,xgb_bootstrap,all,1000,400,400,0.7093760635892732,0.30809810757637024,4.8794962000029045,0.9225,1.6798267063011587,0.935,2.001636978921255
