dataset,train_size,seed,family,method,rmse,crps,cov90,width90,cov95,width95,wall_sec,mean_crps,coverage_90,mean_width_90,coverage_95,mean_width_95,omitted_eval_points,standardize_x,standardize_y,Q,n,MC_num,train_time_sec,pred_time_sec,cem_map_train_time_sec,cem_vi_train_time_sec,coeff_gp_lengthscale,mean_coeff_gp_var,laplace_mean_var,laplace_hessian_median,laplace_hessian_failures,vi_query_var_mean,vi_anchor_var_mean,vi_kl,vi_best_loss,has_qV_gradient,best_elbo,R,residual_scale
Parkinsons Telemonitoring,200,1,cem_em_repaired,cem_em_supervised_gp_cond_ensemble,9.57366265786008,5.625910758972168,0.65625,17.819501576640654,0.75,21.233245767527976,255.6613485000271,5.625910758972168,0.65625,17.819501576640654,0.75,21.233245767527976,0,0,0,5,25,3,224.72359560002224,30.937752900004853,169.06810190001852,55.65549370000372,58.15088653564453,0.00031229108572006226,0.0007556446362286806,0.1924409121274948,0,0.013977060094475746,0.007865795865654945,15144.248046875,299.18060302734375,,,,
Parkinsons Telemonitoring,200,1,cem_em_repaired,cem_em_supervised_laplace_ensemble,9.39210983848714,5.462530612945557,0.734375,17.422871060622317,0.796875,20.760631357450496,254.1173285000259,5.462530612945557,0.734375,17.422871060622317,0.796875,20.760631357450496,0,0,0,5,25,3,224.72359560002224,29.39373290000367,169.06810190001852,55.65549370000372,58.15088653564453,0.00031229108572006226,0.0007556446362286806,0.1924409121274948,0,0.013977060094475746,0.007865795865654945,15144.248046875,299.18060302734375,,,,
Parkinsons Telemonitoring,200,1,cem_em_repaired,cem_em_supervised_vi_fullcov_ensemble,8.731891111301374,4.947576522827148,0.796875,21.29226824610109,0.859375,25.371302484142056,257.1607761000341,4.947576522827148,0.796875,21.29226824610109,0.859375,25.371302484142056,0,0,0,5,25,3,224.72359560002224,32.43718050001189,169.06810190001852,55.65549370000372,58.15088653564453,0.00031229108572006226,0.0007556446362286806,0.1924409121274948,0,0.013977060094475746,0.007865795865654945,15144.248046875,299.18060302734375,,,,
Parkinsons Telemonitoring,200,1,lmjgp_supervised_reparam,lmjgp_supervised_reparam,9.007409407025852,5.219855308532715,0.765625,21.552901161685323,0.859375,25.681865758199173,80.03515529999277,5.219855308532715,0.765625,21.552901161685323,0.859375,25.681865758199173,0,0,0,5,25,3,48.60242139999173,31.43273390000104,,,,,,,,,,,,True,,,
Parkinsons Telemonitoring,200,1,lmjgp_lowrank_residual,lmjgp_lowrank_pls_pca,8.831836209726594,5.123738765716553,0.859375,26.857569478968447,0.921875,32.00276792325994,59.8017921000137,5.123738765716553,0.859375,26.857569478968447,0.921875,32.00276792325994,0,,,,,,42.383281900023576,17.418510199990124,,,,,,,,,,,,,-5.118860104180701,10,1.0
Parkinsons Telemonitoring,200,1,lmjgp_lowrank_residual,lmjgp_lowrank_cem_mean_pls_pca,8.670290427171048,5.06086540222168,0.734375,19.99016711621349,0.78125,23.819753290346295,73.0088223000057,5.06086540222168,0.734375,19.99016711621349,0.78125,23.819753290346295,0,,,,,,42.719430800003465,30.28939150000224,,,,,,,,,,,,,-1.4129401579632934,10,1.0
Parkinsons Telemonitoring,200,1,lmjgp_lowrank_residual,lmjgp_lowrank_cem_mean_cem_svd,8.651583790730607,5.026340007781982,0.75,21.63746743541742,0.828125,25.782632688524068,71.30955129995709,5.026340007781982,0.75,21.63746743541742,0.828125,25.782632688524068,0,,,,,,42.340349199977936,28.969202099979157,,,,,,,,,,,,,-0.7887379941679982,10,1.0
Appliances Energy Prediction,200,1,cem_em_repaired,cem_em_transductive_gp_cond_ensemble,124.73204747670475,62.610652923583984,0.484375,103.72439080745224,0.484375,123.59523484028628,173.58618600005866,62.610652923583984,0.484375,103.72439080745224,0.484375,123.59523484028628,0,1,1,5,35,3,139.85282790003112,33.733358100027544,110.97800030000508,28.874827600026038,6.713927268981934,9.93870198726654e-05,0.03506636247038841,0.03875302895903587,0,0.004017074126750231,0.003967463504523039,9610.16015625,193.03599548339844,,,,
Appliances Energy Prediction,200,1,cem_em_repaired,cem_em_transductive_laplace_ensemble,119.6759580697406,59.19759750366211,0.640625,141.37168115760466,0.65625,168.4547481688835,172.31135130001348,59.19759750366211,0.640625,141.37168115760466,0.65625,168.4547481688835,0,1,1,5,35,3,139.85282790003112,32.45852339998237,110.97800030000508,28.874827600026038,6.713927268981934,9.93870198726654e-05,0.03506636247038841,0.03875302895903587,0,0.004017074126750231,0.003967463504523039,9610.16015625,193.03599548339844,,,,
Appliances Energy Prediction,200,1,cem_em_repaired,cem_em_transductive_vi_fullcov_ensemble,118.75853124814068,56.73798370361328,0.546875,126.65210662181742,0.609375,150.91529329874692,171.02828470003442,56.73798370361328,0.546875,126.65210662181742,0.609375,150.91529329874692,0,1,1,5,35,3,139.85282790003112,31.175456800003303,110.97800030000508,28.874827600026038,6.713927268981934,9.93870198726654e-05,0.03506636247038841,0.03875302895903587,0,0.004017074126750231,0.003967463504523039,9610.16015625,193.03599548339844,,,,
Appliances Energy Prediction,200,1,cem_em_repaired,cem_em_supervised_gp_cond_ensemble,105.14688261847324,49.901798248291016,0.65625,135.24193461247745,0.703125,161.15070465646792,282.5368643999973,49.901798248291016,0.65625,135.24193461247745,0.703125,161.15070465646792,0,1,1,5,35,3,248.78771730000153,33.74914709999575,192.6534823999973,56.13423490000423,6.855514049530029,0.056333012878894806,0.0926077663898468,0.06756899505853653,0,0.05906040966510773,0.0016939513152465224,6856.8623046875,124.30887603759766,,,,
Appliances Energy Prediction,200,1,cem_em_repaired,cem_em_supervised_laplace_ensemble,108.05426214109174,51.256431579589844,0.75,164.94691767532828,0.78125,196.5463751347369,280.06586620002054,51.256431579589844,0.75,164.94691767532828,0.78125,196.5463751347369,0,1,1,5,35,3,248.78771730000153,31.278148900019005,192.6534823999973,56.13423490000423,6.855514049530029,0.056333012878894806,0.0926077663898468,0.06756899505853653,0,0.05906040966510773,0.0016939513152465224,6856.8623046875,124.30887603759766,,,,
