dataset,seed,method,metric,value
Parkinsons Telemonitoring,4,pls_only,w90,9.814938779214497
Parkinsons Telemonitoring,4,pls_only,cov95,0.68
Parkinsons Telemonitoring,4,pls_only,w95,11.695220901436166
Parkinsons Telemonitoring,4,cem_em_coeff,rmse,3.9046821789632817
Parkinsons Telemonitoring,4,cem_em_coeff,crps,1.022673487663269
Parkinsons Telemonitoring,4,cem_em_coeff,wall_sec,122.65503020000324
Parkinsons Telemonitoring,4,cem_em_coeff,cov90,0.605
Parkinsons Telemonitoring,4,cem_em_coeff,w90,0.7795851544622022
Parkinsons Telemonitoring,4,cem_em_coeff,cov95,0.645
Parkinsons Telemonitoring,4,cem_em_coeff,w95,0.9289330069204328
Parkinsons Telemonitoring,5,xgb_bootstrap,rmse,2.7133361088173427
Parkinsons Telemonitoring,5,xgb_bootstrap,crps,1.4066596031188965
Parkinsons Telemonitoring,5,xgb_bootstrap,wall_sec,13.929440200001409
Parkinsons Telemonitoring,5,xgb_bootstrap,cov90,0.83
Parkinsons Telemonitoring,5,xgb_bootstrap,w90,6.6048042864975764
Parkinsons Telemonitoring,5,xgb_bootstrap,cov95,0.91
Parkinsons Telemonitoring,5,xgb_bootstrap,w95,7.870109725485584
Parkinsons Telemonitoring,5,dkl_svgp,rmse,4.299378395080566
Parkinsons Telemonitoring,5,dkl_svgp,crps,2.3666257858276367
Parkinsons Telemonitoring,5,dkl_svgp,wall_sec,9.75547060000099
Parkinsons Telemonitoring,5,dkl_svgp,cov90,0.76
Parkinsons Telemonitoring,5,dkl_svgp,w90,8.089251220428114
Parkinsons Telemonitoring,5,dkl_svgp,cov95,0.79
Parkinsons Telemonitoring,5,dkl_svgp,w95,9.63893734624907
Parkinsons Telemonitoring,5,pls_only,rmse,6.269483714301527
Parkinsons Telemonitoring,5,pls_only,crps,3.3956246376037598
Parkinsons Telemonitoring,5,pls_only,wall_sec,53.18379279999499
Parkinsons Telemonitoring,5,pls_only,cov90,0.655
Parkinsons Telemonitoring,5,pls_only,w90,10.536878665535149
Parkinsons Telemonitoring,5,pls_only,cov95,0.695
Parkinsons Telemonitoring,5,pls_only,w95,12.555465334744126
Parkinsons Telemonitoring,5,cem_em_coeff,rmse,4.327384047180032
Parkinsons Telemonitoring,5,cem_em_coeff,crps,1.1953330039978027
Parkinsons Telemonitoring,5,cem_em_coeff,wall_sec,51.983072999995784
Parkinsons Telemonitoring,5,cem_em_coeff,cov90,0.64
Parkinsons Telemonitoring,5,cem_em_coeff,w90,1.0563931688645936
Parkinsons Telemonitoring,5,cem_em_coeff,cov95,0.67
Parkinsons Telemonitoring,5,cem_em_coeff,w95,1.2587701000034504
Parkinsons Telemonitoring,6,xgb_bootstrap,rmse,2.097353648611671
Parkinsons Telemonitoring,6,xgb_bootstrap,crps,1.1210252046585083
Parkinsons Telemonitoring,6,xgb_bootstrap,wall_sec,7.258194000001822
Parkinsons Telemonitoring,6,xgb_bootstrap,cov90,0.895
