dataset,seed,method,anchor,raw_pair_y_abs_corr,proj_pair_y_abs_corr_median,proj_minus_raw_pair_y_abs_corr,raw_anchor_knn_abs_y,proj_anchor_knn_abs_y_median,proj_minus_raw_anchor_knn_abs_y,all_neighbor_abs_y,lmjgp_anchor,lmjgp_abs_error,lmjgp_kappa_EW_raw,lmjgp_eff_rank_EW_raw,lmjgp_trace_E_WtW_A,lmjgp_eff_rank_E_WWt_B,lmjgp_kappa_K_metric_plus_noise,lmjgp_kappa_K_sampled_norm_plus_noise,lmjgp_kappa_K_EW_Z_plus_noise
Wine Quality,0,lmjgp_transductive,25.0,0.08365972516844408,0.0029661966472702326,-0.08069352852117385,1.399999976158142,1.399999976158142,0.0,1.440000057220459,25,,472415.28125,1.0000001192092896,26.385759353637695,2.95672607421875,8.999975204467773,23.236207008361816,27.864879608154297
Wine Quality,0,lmjgp_transductive,26.0,0.10576268075374964,0.049035482510301084,-0.05672719824344856,0.699999988079071,0.6000000238418579,-0.09999996423721313,0.5199999809265137,26,,4376346.0,0.9999998807907104,25.636280059814453,2.9793903827667236,1.0,1.0743889212608337,1.2251375913619995
Wine Quality,0,lmjgp_transductive,27.0,0.15590324881671747,0.10048661803622208,-0.055416630780495385,0.699999988079071,0.6500000059604645,-0.04999998211860657,0.6399999856948853,27,,16230424.0,0.9999999403953552,29.95361328125,2.7890493869781494,1.0416100025177002,33.7394905090332,40.46485900878906
Wine Quality,0,lmjgp_transductive,28.0,-0.004217758288134097,-0.05431453851644641,-0.050096780228312314,1.2999999523162842,1.2999999523162842,0.0,1.3600000143051147,28,,7529009.0,1.0000001192092896,29.621292114257812,2.8069677352905273,1.0510103702545166,26.613581657409668,34.934513092041016
Wine Quality,0,lmjgp_transductive,29.0,-0.05138431216405361,-0.001998290733055386,0.049386021430998225,0.6000000238418579,0.45000000298023224,-0.15000002086162567,0.4000000059604645,29,,734865.125,1.0000003576278687,23.096435546875,2.988064765930176,1.2998104095458984,26.850138664245605,46.40724182128906
Wine Quality,0,lmjgp_transductive,30.0,-0.041497289739164306,0.021458270731755005,0.06295556047091931,0.5,0.45000000298023224,-0.04999999701976776,0.4399999976158142,30,,61420.06640625,0.9999998807907104,23.653966903686523,2.997586250305176,8.999967575073242,27.845212936401367,46.8614616394043
Wine Quality,0,lmjgp_transductive,31.0,0.17433432274115807,0.11135529863804652,-0.06297902410311154,1.2000000476837158,1.2000000476837158,0.0,1.2000000476837158,31,,162029216.0,1.0000001192092896,25.257442474365234,2.988063097000122,1.4181243181228638,15.919788360595703,24.06929588317871
Wine Quality,0,lmjgp_transductive,32.0,0.20163161645007732,0.05797247118819274,-0.14365914526188459,1.2000000476837158,1.2000000476837158,0.0,1.2000000476837158,32,,1031.78955078125,1.0000053644180298,25.741714477539062,2.976611852645874,1.2061026096343994,26.795348167419434,36.05416488647461
Wine Quality,0,lmjgp_transductive,33.0,-0.06593550162183884,-0.04367225089643078,0.02226325072540806,0.699999988079071,0.6000000238418579,-0.09999996423721313,0.5600000023841858,33,,2098114.25,0.9999998807907104,29.408004760742188,2.818338394165039,8.999966621398926,32.25841808319092,35.87261199951172
Wine Quality,0,lmjgp_transductive,34.0,0.11332452900035316,0.0071053760360481315,-0.10621915296430502,0.5,0.6000000238418579,0.10000002384185791,0.6000000238418579,34,,15906.896484375,1.0000370740890503,26.476938247680664,2.953533172607422,1.2429946660995483,31.9047794342041,33.355098724365234
Wine Quality,0,lmjgp_transductive,35.0,0.004758671268296208,-0.051899000609982426,-0.05665767187827864,0.800000011920929,0.5,-0.30000001192092896,0.6800000071525574,35,,27306902.0,1.0000001192092896,30.90673828125,2.7367441654205322,1.1548528671264648,32.48015785217285,32.580081939697266
Wine Quality,0,lmjgp_transductive,36.0,-0.05369010589363302,-0.0672794274081991,-0.013589321514566086,0.800000011920929,0.699999988079071,-0.10000002384185791,0.6399999856948853,36,,337410.40625,1.0000001192092896,26.99837303161621,2.9337074756622314,9.000250816345215,26.680734634399414,30.254709243774414
Wine Quality,0,lmjgp_transductive,37.0,0.15086399862131214,0.03550301466046247,-0.11536098396084968,0.699999988079071,0.6500000059604645,-0.04999998211860657,0.6399999856948853,37,,267.96221923828125,1.0015568733215332,22.537080764770508,2.970442295074463,1.2525297403335571,26.235913276672363,36.31348419189453
Wine Quality,0,lmjgp_transductive,38.0,-0.08719080061936221,-0.05987363282661417,0.027317167792748044,0.20000000298023224,0.4000000059604645,0.20000000298023224,0.4399999976158142,38,,4805.482421875,1.0000227689743042,26.55260467529297,2.950819969177246,1.8732510805130005,26.834009170532227,28.652284622192383
Wine Quality,0,lmjgp_transductive,39.0,0.06289232544786343,0.052017886756967835,-0.010874438690895591,1.100000023841858,1.100000023841858,0.0,1.1200000047683716,39,,10220.158203125,1.0000113248825073,27.76108741760254,2.90065336227417,1.1988804340362549,36.98550033569336,33.891056060791016
Wine Quality,0,lmjgp_transductive,40.0,-0.05076941964021987,-0.04568623199437906,0.005083187645840814,0.4000000059604645,0.4000000059604645,0.0,0.36000001430511475,40,,88841.0390625,1.0000014305114746,24.462154388427734,2.9988839626312256,1.901145577430725,27.575596809387207,41.81179428100586
Wine Quality,0,lmjgp_transductive,41.0,-0.10107048114668078,-0.047919319108132616,0.053151162038548166,0.5,0.30000001192092896,-0.19999998807907104,0.36000001430511475,41,,1222.615478515625,1.0000109672546387,24.153162002563477,2.999993324279785,1.082971215248108,28.035529136657715,36.943626403808594
